date,Departamento,victims
1990-01-01,ANTIOQUIA,2
1990-01-01,SANTANDER,1
1990-02-01,SANTANDER,1
1990-05-01,BOYACA,2
1990-06-01,ANTIOQUIA,9
1990-09-01,ANTIOQUIA,7
1990-10-01,SANTANDER,1
1991-01-01,TOLIMA,1
1991-02-01,CAQUETA,2
1991-03-01,SANTANDER,3
1991-04-01,ANTIOQUIA,2
1991-04-01,BOLIVAR,1
1991-05-01,META,3
1991-05-01,SANTANDER,1
1991-06-01,BOLIVAR,4
1991-07-01,BOLIVAR,11
1991-07-01,BOYACA,1
1991-08-01,SANTANDER,2
1991-09-01,ANTIOQUIA,2
1991-10-01,ANTIOQUIA,2
1991-10-01,BOLIVAR,2
1991-10-01,HUILA,2
1991-11-01,BOLIVAR,2
1991-11-01,GUAVIARE,4
1991-11-01,SANTANDER,5
1991-11-01,VALLE DEL CAUCA,2
1991-12-01,ARAUCA,8
1991-12-01,BOGOTA DC,1
1991-12-01,BOLIVAR,1
1991-12-01,BOYACA,2
1991-12-01,HUILA,2
1991-12-01,SANTANDER,4
1992-01-01,ANTIOQUIA,4
1992-01-01,BOLIVAR,2
1992-01-01,SANTANDER,10
1992-02-01,ANTIOQUIA,2
1992-02-01,HUILA,4
1992-02-01,SANTANDER,6
1992-03-01,ANTIOQUIA,1
1992-03-01,BOLIVAR,1
1992-03-01,BOYACA,3
1992-03-01,SANTANDER,6
1992-04-01,BOLIVAR,3
1992-04-01,SANTANDER,4
1992-05-01,SANTANDER,2
1992-06-01,ANTIOQUIA,1
1992-06-01,ATLANTICO,2
1992-06-01,BOLIVAR,8
1992-06-01,CESAR,11
1992-06-01,CUNDINAMARCA,9
1992-06-01,META,2
1992-06-01,SANTANDER,8
1992-07-01,BOLIVAR,11
1992-07-01,HUILA,7
1992-07-01,NORTE DE SANTANDER,2
1992-07-01,SANTANDER,4
1992-08-01,ANTIOQUIA,3
1992-08-01,SANTANDER,1
1992-09-01,ANTIOQUIA,4
1992-09-01,BOLIVAR,2
1992-09-01,CASANARE,2
1992-09-01,SANTANDER,17
1992-10-01,ANTIOQUIA,1
1992-10-01,BOYACA,1
1992-10-01,SANTANDER,1
1992-11-01,ANTIOQUIA,2
1992-11-01,PUTUMAYO,1
1992-11-01,SANTANDER,4
1992-12-01,TOLIMA,1
1993-01-01,ANTIOQUIA,2
1993-02-01,CASANARE,1
1993-02-01,CESAR,1
1993-02-01,SANTANDER,5
1993-03-01,ANTIOQUIA,1
1993-03-01,CAUCA,1
1993-03-01,SANTANDER,3
1993-04-01,ANTIOQUIA,3
1993-04-01,ARAUCA,1
1993-05-01,ANTIOQUIA,2
1993-05-01,BOLIVAR,5
1993-05-01,SANTANDER,3
1993-05-01,TOLIMA,2
1993-06-01,ANTIOQUIA,3
1993-06-01,BOLIVAR,3
1993-06-01,SUCRE,1
1993-07-01,BOLIVAR,1
1993-07-01,META,1
1993-08-01,BOLIVAR,4
1993-08-01,CASANARE,3
1993-08-01,PUTUMAYO,5
1993-09-01,ANTIOQUIA,7
1993-09-01,BOLIVAR,2
1993-09-01,CAQUETA,4
1993-09-01,SANTANDER,3
1993-10-01,ARAUCA,1
1993-10-01,BOYACA,1
1993-10-01,CASANARE,1
1993-10-01,SANTANDER,1
1993-11-01,ANTIOQUIA,3
1993-11-01,CAUCA,1
1993-11-01,NARIÑO,1
1993-11-01,SANTANDER,2
1993-11-01,SUCRE,6
1993-12-01,SANTANDER,4
1994-01-01,ANTIOQUIA,2
1994-01-01,BOYACA,2
1994-01-01,CORDOBA,1
1994-01-01,NARIÑO,3
1994-01-01,SANTANDER,1
1994-02-01,SANTANDER,9
1994-03-01,ANTIOQUIA,1
1994-03-01,BOLIVAR,14
1994-03-01,BOYACA,3
1994-03-01,CALDAS,4
1994-03-01,CAQUETA,1
1994-03-01,CESAR,7
1994-03-01,NORTE DE SANTANDER,1
1994-03-01,SANTANDER,2
1994-04-01,BOLIVAR,1
1994-04-01,CAQUETA,5
1994-05-01,BOLIVAR,1
1994-05-01,CAQUETA,1
1994-05-01,CESAR,1
1994-07-01,CAQUETA,3
1994-07-01,CESAR,2
1994-08-01,ANTIOQUIA,1
1994-08-01,BOLIVAR,2
